slurm-3483979.out:Memory: vMem 241304 KB, pMem 155176 KB
slurm-3483980.out:Memory: vMem 241304 KB, pMem 155220 KB
slurm-3483981.out:Memory: vMem 241304 KB, pMem 155220 KB
slurm-3483982.out:Memory: vMem 273548 KB, pMem 174120 KB
slurm-3483983.out:Memory: vMem 273548 KB, pMem 174044 KB
slurm-3483984.out:Memory: vMem 273548 KB, pMem 174068 KB
slurm-3483985.out:Memory: vMem 393008 KB, pMem 207760 KB
slurm-3483986.out:Memory: vMem 393008 KB, pMem 207624 KB
slurm-3483987.out:Memory: vMem 393008 KB, pMem 207680 KB
slurm-3483988.out:Memory: vMem 661184 KB, pMem 271036 KB
slurm-3483989.out:Memory: vMem 661184 KB, pMem 271116 KB
slurm-3483990.out:Memory: vMem 661184 KB, pMem 270808 KB
slurm-3483991.out:Memory: vMem 1212844 KB, pMem 395932 KB
slurm-3483992.out:Memory: vMem 1212844 KB, pMem 396200 KB
slurm-3483993.out:Memory: vMem 1212844 KB, pMem 396012 KB
slurm-3483994.out:Memory: vMem 2328656 KB, pMem 646764 KB
slurm-3483995.out:Memory: vMem 2328656 KB, pMem 646336 KB
slurm-3483996.out:Memory: vMem 2328656 KB, pMem 645464 KB
slurm-3483997.out:Memory: vMem 1579388 KB, pMem 905432 KB
slurm-3483998.out:Memory: vMem 1579388 KB, pMem 943552 KB
slurm-3483999.out:Memory: vMem 1579388 KB, pMem 956144 KB
slurm-3484000.out:Memory: vMem 1629244 KB, pMem 1026952 KB
slurm-3484001.out:Memory: vMem 1629244 KB, pMem 1021084 KB
slurm-3484002.out:Memory: vMem 1629244 KB, pMem 1012632 KB
slurm-3484003.out:Memory: vMem 1854864 KB, pMem 1050908 KB
slurm-3484051.out:Memory: vMem 241304 KB, pMem 155224 KB
slurm-3484052.out:Memory: vMem 241304 KB, pMem 155224 KB
slurm-3484053.out:Memory: vMem 241304 KB, pMem 155224 KB
slurm-3484054.out:Memory: vMem 273548 KB, pMem 174080 KB
slurm-3484055.out:Memory: vMem 273548 KB, pMem 174096 KB
slurm-3484056.out:Memory: vMem 273548 KB, pMem 174068 KB
slurm-3484057.out:Memory: vMem 393008 KB, pMem 207860 KB
slurm-3484058.out:Memory: vMem 393008 KB, pMem 207692 KB
slurm-3484059.out:Memory: vMem 393008 KB, pMem 207624 KB
slurm-3484060.out:Memory: vMem 661184 KB, pMem 271020 KB
slurm-3484061.out:Memory: vMem 661184 KB, pMem 270932 KB
slurm-3484062.out:Memory: vMem 661184 KB, pMem 270944 KB
slurm-3484063.out:Memory: vMem 1212844 KB, pMem 395900 KB
slurm-3484064.out:Memory: vMem 1212844 KB, pMem 396068 KB
slurm-3484065.out:Memory: vMem 1212844 KB, pMem 395972 KB
slurm-3484066.out:Memory: vMem 2328656 KB, pMem 646220 KB
slurm-3484067.out:Memory: vMem 2332752 KB, pMem 646560 KB
slurm-3484068.out:Memory: vMem 2332752 KB, pMem 646472 KB
slurm-3484069.out:Memory: vMem 1579388 KB, pMem 918656 KB
slurm-3484070.out:Memory: vMem 1579388 KB, pMem 899364 KB
slurm-3484071.out:Memory: vMem 1579388 KB, pMem 1046056 KB
slurm-3484072.out:Memory: vMem 1629244 KB, pMem 1008564 KB
slurm-3484073.out:Memory: vMem 1629244 KB, pMem 933556 KB
slurm-3484074.out:Memory: vMem 1629244 KB, pMem 875656 KB
slurm-3484075.out:Memory: vMem 1854864 KB, pMem 951532 KB
slurm-3484076.out:Memory: vMem 1854864 KB, pMem 918736 KB
slurm-3484077.out:Memory: vMem 1854864 KB, pMem 1026536 KB
slurm-3484078.out:Memory: vMem 1911336 KB, pMem 1045588 KB
slurm-3484079.out:Memory: vMem 1911336 KB, pMem 1055308 KB
slurm-3484080.out:Memory: vMem 1911336 KB, pMem 923724 KB
slurm-3484082.out:Memory: vMem 2946296 KB, pMem 1122280 KB
slurm-3484123.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484124.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484125.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484126.out:Memory: vMem 273548 KB, pMem 174108 KB
slurm-3484127.out:Memory: vMem 273548 KB, pMem 174116 KB
slurm-3484128.out:Memory: vMem 273548 KB, pMem 174084 KB
slurm-3484129.out:Memory: vMem 393008 KB, pMem 207780 KB
slurm-3484130.out:Memory: vMem 393008 KB, pMem 207920 KB
slurm-3484131.out:Memory: vMem 393008 KB, pMem 207772 KB
slurm-3484132.out:Memory: vMem 661184 KB, pMem 272944 KB
slurm-3484133.out:Memory: vMem 661184 KB, pMem 270924 KB
slurm-3484134.out:Memory: vMem 661184 KB, pMem 270844 KB
slurm-3484135.out:Memory: vMem 1212844 KB, pMem 396232 KB
slurm-3484136.out:Memory: vMem 1212844 KB, pMem 396184 KB
slurm-3484137.out:Memory: vMem 1212844 KB, pMem 396448 KB
slurm-3484138.out:Memory: vMem 2328656 KB, pMem 647064 KB
slurm-3484139.out:Memory: vMem 2328656 KB, pMem 646600 KB
slurm-3484140.out:Memory: vMem 2328656 KB, pMem 646984 KB
slurm-3484141.out:Memory: vMem 1579388 KB, pMem 1001012 KB
slurm-3484142.out:Memory: vMem 1579388 KB, pMem 1022492 KB
slurm-3484143.out:Memory: vMem 1579388 KB, pMem 929876 KB
slurm-3484144.out:Memory: vMem 1629244 KB, pMem 1003412 KB
slurm-3484145.out:Memory: vMem 1629244 KB, pMem 1003312 KB
slurm-3484146.out:Memory: vMem 1629244 KB, pMem 1045240 KB
slurm-3484147.out:Memory: vMem 1854864 KB, pMem 1046408 KB
slurm-3484148.out:Memory: vMem 1854864 KB, pMem 1053392 KB
slurm-3484149.out:Memory: vMem 1854864 KB, pMem 1051388 KB
slurm-3484150.out:Memory: vMem 1911336 KB, pMem 1050184 KB
slurm-3484151.out:Memory: vMem 1911336 KB, pMem 1049980 KB
slurm-3484195.out:Memory: vMem 241304 KB, pMem 155220 KB
slurm-3484196.out:Memory: vMem 241304 KB, pMem 155224 KB
slurm-3484197.out:Memory: vMem 241304 KB, pMem 155224 KB
slurm-3484198.out:Memory: vMem 273548 KB, pMem 174068 KB
slurm-3484199.out:Memory: vMem 273548 KB, pMem 174128 KB
slurm-3484200.out:Memory: vMem 273548 KB, pMem 174084 KB
slurm-3484201.out:Memory: vMem 393008 KB, pMem 207792 KB
slurm-3484202.out:Memory: vMem 393008 KB, pMem 207720 KB
slurm-3484203.out:Memory: vMem 393008 KB, pMem 207636 KB
slurm-3484204.out:Memory: vMem 661184 KB, pMem 271024 KB
slurm-3484205.out:Memory: vMem 661184 KB, pMem 270892 KB
slurm-3484206.out:Memory: vMem 661184 KB, pMem 270808 KB
slurm-3484207.out:Memory: vMem 1212844 KB, pMem 397984 KB
slurm-3484208.out:Memory: vMem 1212844 KB, pMem 398008 KB
slurm-3484209.out:Memory: vMem 1212844 KB, pMem 396308 KB
slurm-3484210.out:Memory: vMem 2328656 KB, pMem 646164 KB
slurm-3484211.out:Memory: vMem 2328656 KB, pMem 646712 KB
slurm-3484212.out:Memory: vMem 2328656 KB, pMem 646520 KB
slurm-3484213.out:Memory: vMem 1579388 KB, pMem 846632 KB
slurm-3484214.out:Memory: vMem 1579388 KB, pMem 944164 KB
slurm-3484215.out:Memory: vMem 1579388 KB, pMem 842496 KB
slurm-3484216.out:Memory: vMem 1629244 KB, pMem 1028044 KB
slurm-3484217.out:Memory: vMem 1629244 KB, pMem 1021556 KB
slurm-3484218.out:Memory: vMem 1629244 KB, pMem 1030688 KB
slurm-3484219.out:Memory: vMem 1854864 KB, pMem 998976 KB
slurm-3484220.out:Memory: vMem 1854864 KB, pMem 1044844 KB
slurm-3484221.out:Memory: vMem 1854864 KB, pMem 997028 KB
slurm-3484222.out:Memory: vMem 1911336 KB, pMem 984448 KB
slurm-3484223.out:Memory: vMem 1911336 KB, pMem 1051980 KB
slurm-3484224.out:Memory: vMem 1911336 KB, pMem 889024 KB
slurm-3484267.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484268.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484269.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484270.out:Memory: vMem 273548 KB, pMem 174116 KB
slurm-3484271.out:Memory: vMem 273548 KB, pMem 174104 KB
slurm-3484272.out:Memory: vMem 273548 KB, pMem 174112 KB
slurm-3484273.out:Memory: vMem 393008 KB, pMem 207916 KB
slurm-3484274.out:Memory: vMem 393008 KB, pMem 207792 KB
slurm-3484275.out:Memory: vMem 393008 KB, pMem 207760 KB
slurm-3484276.out:Memory: vMem 661184 KB, pMem 271092 KB
slurm-3484277.out:Memory: vMem 661184 KB, pMem 271268 KB
slurm-3484278.out:Memory: vMem 661184 KB, pMem 270768 KB
slurm-3484279.out:Memory: vMem 1212844 KB, pMem 398028 KB
slurm-3484280.out:Memory: vMem 1212844 KB, pMem 395952 KB
slurm-3484281.out:Memory: vMem 1212844 KB, pMem 398020 KB
slurm-3484282.out:Memory: vMem 2328656 KB, pMem 650572 KB
slurm-3484283.out:Memory: vMem 2328656 KB, pMem 650844 KB
slurm-3484284.out:Memory: vMem 2328656 KB, pMem 650664 KB
slurm-3484285.out:Memory: vMem 1579388 KB, pMem 1048264 KB
slurm-3484286.out:Memory: vMem 1579388 KB, pMem 931024 KB
slurm-3484287.out:Memory: vMem 1579388 KB, pMem 937440 KB
slurm-3484288.out:Memory: vMem 1629244 KB, pMem 1030736 KB
slurm-3484289.out:Memory: vMem 1629244 KB, pMem 1025904 KB
slurm-3484290.out:Memory: vMem 1629244 KB, pMem 1030748 KB
slurm-3484291.out:Memory: vMem 1854864 KB, pMem 865776 KB
slurm-3484292.out:Memory: vMem 1854864 KB, pMem 1000720 KB
slurm-3484293.out:Memory: vMem 1854864 KB, pMem 928748 KB
slurm-3484294.out:Memory: vMem 1911336 KB, pMem 1030216 KB
slurm-3484295.out:Memory: vMem 1911336 KB, pMem 1032880 KB
slurm-3484296.out:Memory: vMem 1911336 KB, pMem 1038152 KB
